K;Tamanho;execution_time
1;100000;0,141719
1;100000;0,1239994
1;100000;0,1176059
1;100000;0,1178696
1;100000;0,1163632
1;100000;0,1156183
1;100000;0,1154984
1;100000;0,1250854
1;100000;0,1251352
1;100000;0,1204243
1;100000;0,1271705
1;100000;0,1167185
1;100000;0,11759
1;100000;0,1159076
1;100000;0,1156507
1;100000;0,1266304
1;100000;0,1219435
1;100000;0,1305413
1;100000;0,1231108
1;100000;0,1173227
1;100000;0,1163037
1;100000;0,1162438
1;100000;0,1168936
1;100000;0,1272152
1;100000;0,1207999
1;100000;0,1198283
1;100000;0,1249535
1;100000;0,1176768
1;100000;0,12138
1;100000;0,1200362
1;100000;0,1176139
1;100000;0,1162016
1;100000;0,1172848
1;100000;0,1160911
1;100000;0,1165297
1;100000;0,1168591
1;100000;0,1209677
1;100000;0,1304474
1;100000;0,1219186
1;100000;0,123861
1;100000;0,1237575
1;100000;0,1166142
1;100000;0,1169879
1;100000;0,1197498
1;100000;0,123721
1;100000;0,1157992
1;100000;0,1168841
1;100000;0,1160385
1;100000;0,1171935
1;100000;0,1195686
2;100000;0,1178833
2;100000;0,117589
2;100000;0,1193965
2;100000;0,1257653
2;100000;0,1397363
2;100000;0,1220152
2;100000;0,1176916
2;100000;0,1224077
2;100000;0,1224372
2;100000;0,1203463
2;100000;0,1195924
2;100000;0,1228493
2;100000;0,1202466
2;100000;0,1182021
2;100000;0,1155171
2;100000;0,1330457
2;100000;0,126462
2;100000;0,1162707
2;100000;0,1165331
2;100000;0,123043
2;100000;0,1233981
2;100000;0,1200836
2;100000;0,1176335
2;100000;0,1165816
2;100000;0,1201331
2;100000;0,1212462
2;100000;0,1343265
2;100000;0,1297649
2;100000;0,1360756
2;100000;0,1223124
2;100000;0,133469
2;100000;0,1238809
2;100000;0,1157153
2;100000;0,1174357
2;100000;0,1176501
2;100000;0,117681
2;100000;0,1199619
2;100000;0,1165041
2;100000;0,1165637
2;100000;0,1194117
2;100000;0,1173636
2;100000;0,1259849
2;100000;0,1242228
2;100000;0,1155091
2;100000;0,1162118
2;100000;0,1325367
2;100000;0,1247943
2;100000;0,1174598
2;100000;0,1181405
2;100000;0,1197775
4;100000;0,1219693
4;100000;0,1250103
4;100000;0,1237916
4;100000;0,1206983
4;100000;0,1373106
4;100000;0,1276835
4;100000;0,1235804
4;100000;0,1226585
4;100000;0,1279787
4;100000;0,1202446
4;100000;0,1238318
4;100000;0,1211053
4;100000;0,1236483
4;100000;0,1218054
4;100000;0,1248829
4;100000;0,1233716
4;100000;0,1199943
4;100000;0,1180776
4;100000;0,1204997
4;100000;0,1197534
4;100000;0,1183109
4;100000;0,1184018
4;100000;0,120873
4;100000;0,1182213
4;100000;0,1190675
4;100000;0,1184174
4;100000;0,1189229
4;100000;0,1220327
4;100000;0,1219606
4;100000;0,1177095
4;100000;0,1220057
4;100000;0,1223926
4;100000;0,1218168
4;100000;0,1191959
4;100000;0,1206907
4;100000;0,1250611
4;100000;0,1270828
4;100000;0,1209467
4;100000;0,1182075
4;100000;0,1310263
4;100000;0,1221526
4;100000;0,1170795
4;100000;0,1190609
4;100000;0,1233714
4;100000;0,1245502
4;100000;0,1193397
4;100000;0,1174055
4;100000;0,1164901
4;100000;0,1204807
4;100000;0,1221213
8;100000;0,1303732
8;100000;0,132894
8;100000;0,1253485
8;100000;0,1182778
8;100000;0,11944
8;100000;0,1249695
8;100000;0,1326415
8;100000;0,1249793
8;100000;0,1271241
8;100000;0,1206921
8;100000;0,1225322
8;100000;0,1178664
8;100000;0,1218211
8;100000;0,12324
8;100000;0,124573
8;100000;0,1343027
8;100000;0,1302386
8;100000;0,1348976
8;100000;0,124523
8;100000;0,121416
8;100000;0,1227506
8;100000;0,1337009
8;100000;0,127483
8;100000;0,1259817
8;100000;0,1251886
8;100000;0,1299044
8;100000;0,1232114
8;100000;0,1221118
8;100000;0,1247443
8;100000;0,1201505
8;100000;0,120099
8;100000;0,1256635
8;100000;0,1247516
8;100000;0,1283741
8;100000;0,1228734
8;100000;0,1197238
8;100000;0,1197602
8;100000;0,1223636
8;100000;0,1268542
8;100000;0,1206417
8;100000;0,1216447
8;100000;0,1197675
8;100000;0,1237894
8;100000;0,1196339
8;100000;0,1299197
8;100000;0,1205519
8;100000;0,117172
8;100000;0,1371447
8;100000;0,1253885
8;100000;0,1325637
16;100000;0,1278802
16;100000;0,129555
16;100000;0,125792
16;100000;0,1196038
16;100000;0,1219086
16;100000;0,1359109
16;100000;0,1253695
16;100000;0,1243398
16;100000;0,1255483
16;100000;0,1372158
16;100000;0,1251143
16;100000;0,1226344
16;100000;0,1232088
16;100000;0,1404602
16;100000;0,1268504
16;100000;0,1220298
16;100000;0,121802
16;100000;0,1215918
16;100000;0,1202334
16;100000;0,1214248
16;100000;0,121625
16;100000;0,121022
16;100000;0,1239319
16;100000;0,1260155
16;100000;0,126763
16;100000;0,1217821
16;100000;0,1193884
16;100000;0,1220438
16;100000;0,1230284
16;100000;0,1212404
16;100000;0,1215191
16;100000;0,1234558
16;100000;0,1268131
16;100000;0,1207763
16;100000;0,1204937
16;100000;0,1375942
16;100000;0,1276797
16;100000;0,1271472
16;100000;0,1255765
16;100000;0,1251956
16;100000;0,1381497
16;100000;0,135126
16;100000;0,12866
16;100000;0,1197546
16;100000;0,1210608
16;100000;0,1229939
16;100000;0,1216653
16;100000;0,119183
16;100000;0,1218733
16;100000;0,1252434
1;10000000;4,4356457
1;10000000;3,7322821
1;10000000;3,7737125
1;10000000;3,7415217
1;10000000;3,6150413
1;10000000;3,7771118
1;10000000;3,7167704
1;10000000;3,6423103
1;10000000;3,7459015
1;10000000;3,7668581
1;10000000;3,6831959
1;10000000;3,7436937
1;10000000;3,6168937
1;10000000;3,6702276
1;10000000;3,8097473
1;10000000;3,7365931
1;10000000;3,7183699
1;10000000;3,7520708
1;10000000;3,8520914
1;10000000;3,778314
1;10000000;3,7609298
1;10000000;3,599114
1;10000000;3,7232807
1;10000000;3,7347719
1;10000000;3,7276791
1;10000000;3,7485292
1;10000000;3,7937086
1;10000000;3,8611598
1;10000000;3,7985746
1;10000000;3,7249576
1;10000000;3,7497204
1;10000000;3,7921567
1;10000000;3,6867272
1;10000000;3,7757667
1;10000000;3,8026169
1;10000000;3,7953484
1;10000000;3,7534466
1;10000000;3,7981181
1;10000000;3,759756
1;10000000;3,7043933
1;10000000;3,7298625
1;10000000;3,8376109
